feature	mapped_value
('14', '1327')	709
('4', '1328')	710
('250', '1289')	711
('104', '1285')	712
('206', '1329')	713
('14', '1330')	714
('38', '1323')	715
('51', '1331')	716
('4', '1332')	717
('9', '1333')	718
('4', '1334')	719
('31', '1335')	720
('4', '847')	721
('251', '1336')	722
('149', '1337')	723
('53', '1338')	724
('127', '1320')	725
('78', '1077')	726
('5', '1339')	727
('4', '1276')	728
('65', '1282')	729
('4', '1341')	730
('4', '1342')	731
('14', '1343')	732
('69', '1282')	733
('4', '1344')	734
('35', '1281')	735
('67', '1345')	736
('5', '1346')	737
('4', '1347')	738
('52', '1315')	739
('142', '1077')	740
('4', '1348')	741
('14', '1342')	742
('44', '1313')	743
('15', '1349')	744
('141', '1077')	745
('33', '1350')	746
('44', '1351')	747
('14', '1352')	748
('26', '1335')	749
('4', '1354')	750
('4', '1322')	751
('14', '1355')	752
('4', '1355')	753
('4', '1356')	754
('4', '1343')	755
('31', '1357')	756
('68', '1331')	757
('4', '1359')	758
('153', '1285')	759
('9', '1360')	760
('14', '1361')	761
('53', '1345')	762
('14', '1362')	763
('68', '1363')	764
('206', '1302')	765
('14', '1314')	766
('12', '1365')	767
('14', '1324')	768
('4', '1330')	769
('104', '1077')	770
('33', '1366')	771
('4', '1326')	772
('78', '1285')	773
('14', '1334')	774
('4', '1318')	775
('53', '1300')	776
('6', '1351')	777
('14', '1310')	778
('99', '1320')	779
('27', '1367')	780
('206', '1368')	781
('25', '1292')	782
('8', '1333')	783
('14', '1370')	784
('16', '1320')	785
('14', '1371')	786
('232', '1289')	787
('14', '1328')	788
('6', '1285')	789
('14', '1373')	790
('141', '1285')	791
('53', '1294')	792
('70', '1333')	793
('5', '1374')	794
('5', '1375')	795
('8', '207')	796
('142', '1285')	797
('53', '1295')	798
('53', '1285')	799
('5', '1376')	800
('53', '1377')	801
('26', '1291')	802
('67', '1298')	803
('92', '2')	804
('4', '1309')	805
('4', '1373')	806
('66', '1315')	807
('53', '1313')	808
('4', '1370')	809
('5', '1378')	810
('6', '1379')	811
('237', '1289')	812
('67', '1377')	813
('14', '1301')	814
('4', '1283')	815
('4', '1277')	816
('4', '1371')	817
('15', '1333')	818
('9', '1303')	819
('206', '1381')	820
('67', '1305')	821
('72', '1333')	822
('122', '1077')	823
('11', '1288')	824
('4', '566')	825
('14', '1382')	826
('13', '1320')	827
('89', '1320')	828
('133', '1337')	829
('4', '1362')	830
('4', '1383')	831
('14', '1348')	832
('14', '1385')	833
('206', '1386')	834
('14', '1356')	835
('51', '1363')	836
('138', '1311')	837
('33', '1386')	838
('14', '1359')	839
('154', '1285')	840
('14', '1387')	841
('15', '1360')	842
('33', '1368')	843
('14', '1388')	844
('14', '1332')	845
('438', '1288')	846
('39', '1365')	847
('206', '1366')	848
('50', '1367')	849
('14', '1341')	850
('4', '1389')	851
('14', '1389')	852
('67', '1338')	853
('5', '1390')	854
('4', '1361')	855
('14', '1347')	856
('48', '1325')	857
('4', '1388')	858
('14', '1344')	859
('4', '1387')	860
('14', '1354')	861
('4', '1385')	862
('111', '1285')	863
('54', '1282')	864
('67', '1351')	865
('4', '1352')	866
('26', '1384')	867
('4', '1327')	868
('9', '1349')	869
('4', '1382')	870
('53', '1351')	871
('432', '1275')	872
('14', '1321')	873
('33', '1299')	874
('14', '1317')	875
('14', '1383')	876
('4', '1307')	877
('122', '1285')	878
('5', '1311')	879
('70', '1393')	880
('14', '1395')	881
('15', '1396')	882
('4', '1400')	883
('9', '1403')	884
('4', '1407')	885
('206', '1408')	886
('5', '1411')	887
('5', '1412')	888
('4', '1417')	889
('345', '1419')	890
('14', '1420')	891
('11', '1423')	892
('14', '1425')	893
('4', '1426')	894
('4', '1430')	895
('8', '1431')	896
('5', '1432')	897
('5', '1433')	898
('4', '1436')	899
('5', '1437')	900
('251', '1438')	901
('5', '1442')	902
('2', '1443')	903
('344', '1419')	904
('21', '1449')	905
('5', '1452')	906
('14', '1436')	907
('5', '1455')	908
('337', '84')	909
('28', '1449')	910
('4', '830')	911
('5', '1458')	912
('443', '1459')	913
('72', '1393')	914
('8', '1461')	915
('4', '1463')	916
('5', '1467')	917
('8', '1470')	918
('34', '1443')	919
('14', '1426')	920
('14', '1475')	921
('75', '1412')	922
('15', '1477')	923
('4', '1478')	924
('4', '1481')	925
('4', '1483')	926
('14', '1485')	927
('35', '1487')	928
('5', '1488')	929
('53', '1490')	930
('22', '1491')	931
('14', '1497')	932
('55', '1490')	933
('14', '1498')	934
('348', '1499')	935
('440', '1501')	936
('9', '1108')	937
('93', '1505')	938
('64', '1449')	939
('206', '1508')	940
('8', '1510')	941
('15', '1512')	942
('4', '1513')	943
('14', '1513')	944
('5', '1515')	945
('4', '1517')	946
('4', '1497')	947
('14', '1519')	948
('45', '1423')	949
('453', '785')	950
('67', '1077')	951
('175', '1077')	952
('93', '1412')	953
('56', '1490')	954
('75', '1505')	955
('14', '1517')	956
('8', '1523')	957
('4', '1485')	958
('14', '1524')	959
('14', '1478')	960
('5', '1526')	961
('5', '1529')	962
('9', '1396')	963
('4', '1530')	964
('5', '1532')	965
('46', '1423')	966
('17', '1487')	967
('5', '1535')	968
('5', '1536')	969
('14', '1463')	970
('5', '1537')	971
('440', '1538')	972
('4', '1539')	973
('5', '1540')	974
('14', '1541')	975
('5', '1542')	976
('5', '1386')	977
('5', '1545')	978
('15', '1403')	979
('14', '1481')	980
('454', '1459')	981
('4', '1547')	982
('4', '1475')	983
('29', '1423')	984
('4', '1550')	985
('5', '1552')	986
('4', '1420')	987
('246', '785')	988
('16', '1555')	989
('8', '1556')	990
('337', '1501')	991
('14', '1430')	992
('32', '1491')	993
('14', '1558')	994
('4', '1558')	995
('4', '1425')	996
('14', '1547')	997
('9', '1081')	998
('440', '986')	999
('31', '1563')	1000
('5', '1564')	1001
('6', '1077')	1002
('14', '1530')	1003
('387', '785')	1004
('14', '1539')	1005
('14', '1400')	1006
('14', '1417')	1007
('4', '1395')	1008
('75', '1536')	1009
('344', '1460')	1010
('55', '1077')	1011
('206', '1566')	1012
('14', '1567')	1013
('4', '1541')	1014
('67', '1490')	1015
('14', '1550')	1016
('56', '1077')	1017
('5', '1429')	1018
('4', '1524')	1019
('176', '1449')	1020
('345', '1460')	1021
('465', '1459')	1022
('9', '1477')	1023
('14', '1407')	1024
('8', '1572')	1025
('9', '1512')	1026
('5', '1574')	1027
('4', '1576')	1028
('9', '1098')	1029
('13', '1555')	1030
('5', '1581')	1031
('466', '1459')	1032
('337', '1538')	1033
('8', '1512')	1034
('5', '1584')	1035
('5', '1585')	1036
('14', '1483')	1037
('4', '1498')	1038
('53', '1077')	1039
('350', '1499')	1040
('14', '1586')	1041
('4', '1587')	1042
('14', '1576')	1043
('4', '1567')	1044
('4', '1586')	1045
('14', '1587')	1046
('4', '1519')	1047
('440', '84')	1048
('5', '1591')	1049
('93', '1536')	1050
('5', '1593')	1051
('5', '1594')	1052
('44', '1076')	1053
('474', '1601')	1054
('360', '1611')	1055
('5', '1608')	1056
('487', '1617')	1057
('5', '1620')	1058
('5', '1621')	1059
('5', '1622')	1060
('474', '84')	1061
('26', '1629')	1062
('26', '1631')	1063
('492', '1634')	1064
('483', '1614')	1065
('472', '84')	1066
('487', '1654')	1067
('504', '1612')	1068
('5', '1655')	1069
('5', '1656')	1070
('33', '1620')	1071
('487', '1608')	1072
('360', '84')	1073
('44', '1674')	1074
('5', '1677')	1075
('5', '1678')	1076
('487', '1681')	1077
('5', '1690')	1078
('5', '1691')	1079
('520', '1614')	1080
('487', '1696')	1081
('492', '1697')	1082
('5', '1699')	1083
('5', '1710')	1084
('5', '1711')	1085
('526', '1717')	1086
('5', '1720')	1087
('474', '1706')	1088
('529', '1722')	1089
('5', '1724')	1090
('5', '1725')	1091
('5', '1726')	1092
('5', '1727')	1093
('33', '1730')	1094
('531', '1731')	1095
('5', '1733')	1096
('520', '1612')	1097
('48', '1743')	1098
('474', '1758')	1099
('474', '1669')	1100
('5', '1760')	1101
('8', '1761')	1102
('5', '1765')	1103
('5', '1768')	1104
('8', '1769')	1105
('487', '1754')	1106
('5', '1773')	1107
('360', '1703')	1108
('474', '1736')	1109
('5', '1776')	1110
('530', '1744')	1111
('4', '1780')	1112
('72', '1786')	1113
('14', '1788')	1114
('26', '1563')	1115
('5', '1792')	1116
('138', '980')	1117
('8', '1803')	1118
('4', '1804')	1119
('5', '1809')	1120
('8', '1810')	1121
('14', '1804')	1122
('4', '1815')	1123
('70', '1786')	1124
('5', '1818')	1125
('14', '1780')	1126
('5', '1820')	1127
('5', '1824')	1128
('72', '1829')	1129
('5', '1838')	1130
('4', '1840')	1131
('136', '980')	1132
('15', '1842')	1133
('4', '1843')	1134
('14', '1846')	1135
('14', '1840')	1136
('4', '1853')	1137
('48', '1438')	1138
('5', '1858')	1139
('8', '1393')	1140
('33', '1408')	1141
('8', '1861')	1142
('4', '1788')	1143
('136', '1829')	1144
('5', '1867')	1145
('5', '1869')	1146
('5', '1393')	1147
('5', '1872')	1148
('14', '1853')	1149
('5', '1873')	1150
('5', '1783')	1151
('33', '1508')	1152
('5', '1856')	1153
('5', '1877')	1154
('9', '1842')	1155
('5', '1880')	1156
('14', '1843')	1157
('44', '1077')	1158
('19', '1836')	1159
('33', '1566')	1160
('138', '1829')	1161
('4', '1846')	1162
('70', '1829')	1163
('5', '1884')	1164
('5', '1885')	1165
('5', '1886')	1166
('14', '1815')	1167
('205', '1888')	1168
('43', '1889')	1169
('560', '1138')	1170
('561', '1890')	1171
('563', '1247')	1172
('564', '1892')	1173
('560', '1259')	1174
('4', '1893')	1175
('565', '1165')	1176
('205', '1894')	1177
('566', '1148')	1178
('564', '1897')	1179
('567', '1150')	1180
('568', '1196')	1181
('564', '1899')	1182
('564', '1901')	1183
('205', '1902')	1184
('561', '1903')	1185
('205', '1904')	1186
('569', '1137')	1187
('570', '1235')	1188
('571', '1172')	1189
('564', '1905')	1190
('572', '1251')	1191
('573', '1250')	1192
('5', '1906')	1193
('574', '1120')	1194
('575', '1137')	1195
('564', '1907')	1196
('564', '1908')	1197
('205', '1909')	1198
('576', '1193')	1199
('564', '1911')	1200
('5', '1912')	1201
('560', '1192')	1202
('564', '1913')	1203
('578', '1181')	1204
('564', '1914')	1205
('14', '1915')	1206
('564', '488')	1207
('205', '1916')	1208
('564', '1917')	1209
('564', '1918')	1210
('579', '1141')	1211
('564', '1920')	1212
('580', '1191')	1213
('581', '1158')	1214
('205', '1921')	1215
('5', '1922')	1216
('205', '1923')	1217
('205', '1924')	1218
('564', '1925')	1219
('570', '1261')	1220
('561', '1926')	1221
('205', '1927')	1222
('582', '1256')	1223
('583', '1929')	1224
('584', '1239')	1225
('585', '1182')	1226
('564', '1930')	1227
('569', '1209')	1228
('564', '1931')	1229
('564', '1932')	1230
('586', '1261')	1231
('567', '1253')	1232
('569', '1178')	1233
('564', '1938')	1234
('560', '1139')	1235
('205', '1939')	1236
('571', '1230')	1237
('205', '1940')	1238
('8', '1074')	1239
('205', '1941')	1240
('564', '1942')	1241
('588', '1134')	1242
('580', '1198')	1243
('588', '1241')	1244
('205', '1944')	1245
('567', '1243')	1246
('590', '1176')	1247
('205', '1931')	1248
('205', '1932')	1249
('564', '1921')	1250
('5', '1945')	1251
('591', '1173')	1252
('582', '1250')	1253
('588', '1119')	1254
('586', '1145')	1255
('563', '1172')	1256
('75', '696')	1257
('592', '1133')	1258
('574', '1257')	1259
('205', '1925')	1260
('8', '1900')	1261
('593', '1173')	1262
('205', '1913')	1263
('202', '1946')	1264
('586', '1128')	1265
('564', '1947')	1266
('205', '1948')	1267
('594', '1176')	1268
('595', '1149')	1269
('596', '688')	1270
('205', '1917')	1271
('205', '1918')	1272
('205', '1950')	1273
('597', '1203')	1274
('574', '1259')	1275
('598', '1213')	1276
('205', '1914')	1277
('573', '1256')	1278
('583', '1951')	1279
('205', '1907')	1280
('5', '1952')	1281
('599', '1155')	1282
('564', '1904')	1283
('560', '1248')	1284
('564', '1909')	1285
('205', '1897')	1286
('205', '1953')	1287
('573', '1131')	1288
('581', '1121')	1289
('600', '1228')	1290
('567', '1140')	1291
('205', '1905')	1292
('205', '1955')	1293
('601', '100')	1294
('602', '1135')	1295
('564', '1902')	1296
('597', '1224')	1297
('14', '1893')	1298
('581', '1129')	1299
('580', '1244')	1300
('205', '1957')	1301
('205', '1892')	1302
('604', '1198')	1303
('605', '1946')	1304
('607', '1958')	1305
('564', '1959')	1306
('75', '1960')	1307
('563', '1230')	1308
('608', '1181')	1309
('582', '1194')	1310
('586', '1235')	1311
('573', '1231')	1312
('574', '1216')	1313
('567', '1134')	1314
('205', '1962')	1315
('205', '1963')	1316
('229', '1196')	1317
('588', '1150')	1318
('581', '1153')	1319
('573', '1211')	1320
('609', '637')	1321
('567', '1208')	1322
('560', '1216')	1323
('560', '1218')	1324
('205', '1964')	1325
('610', '100')	1326
('564', '1965')	1327
('563', '1126')	1328
('579', '1239')	1329
('564', '1966')	1330
('560', '1260')	1331
('597', '1153')	1332
('574', '1218')	1333
('205', '1967')	1334
('567', '1122')	1335
('564', '1968')	1336
('611', '1969')	1337
('564', '1970')	1338
('588', '1208')	1339
('574', '1139')	1340
('612', '1196')	1341
('564', '1971')	1342
('573', '1194')	1343
('205', '1968')	1344
('564', '1972')	1345
('571', '1170')	1346
('560', '1257')	1347
('614', '1157')	1348
('615', '1213')	1349
('205', '1973')	1350
('616', '1974')	1351
('204', '1974')	1352
('617', '1178')	1353
('17', '1975')	1354
('205', '1976')	1355
('49', '1977')	1356
('597', '1121')	1357
('205', '1978')	1358
('564', '1962')	1359
('564', '1963')	1360
('567', '1144')	1361
('618', '1196')	1362
('205', '1980')	1363
('574', '1138')	1364
('205', '1966')	1365
('564', '1964')	1366
('579', '1142')	1367
('205', '1981')	1368
('205', '1982')	1369
('619', '1157')	1370
('599', '1251')	1371
('564', '1983')	1372
('567', '1227')	1373
('205', '1984')	1374
('205', '1985')	1375
('564', '1986')	1376
('620', '1193')	1377
('621', '24')	1378
('581', '1203')	1379
('573', '1207')	1380
('597', '1129')	1381
('205', '1959')	1382
('14', '1987')	1383
('622', '1988')	1384
('72', '1900')	1385
('564', '1989')	1386
('586', '1232')	1387
('564', '1955')	1388
('205', '1990')	1389
('620', '1213')	1390
('588', '1243')	1391
('8', '1960')	1392
('560', '1162')	1393
('564', '1953')	1394
('623', '1991')	1395
('4', '1987')	1396
('616', '1903')	1397
('624', '1951')	1398
('5', '1992')	1399
('564', '1957')	1400
('564', '1993')	1401
('588', '1144')	1402
('564', '1994')	1403
('566', '1244')	1404
('625', '1193')	1405
('574', '1162')	1406
('581', '1224')	1407
('217', '1969')	1408
('584', '1141')	1409
('584', '1142')	1410
('24', '938')	1411
('599', '1159')	1412
('566', '1198')	1413
('570', '1128')	1414
('560', '1120')	1415
('624', '1929')	1416
